UserId,product_list
2,"[11660064, 12407198, 11714456, 11481104, 12407154, 12371374, 12657954, 12371278, 11660100, 12657888]"
28,"[11659838, 12360404, 12407652, 12407706, 13039752, 13039778, 13039812, 11659836, 12360430, 12407760]"
36,"[11460916, 12360448, 12407648, 12371376, 12407730, 12360452, 12407796, 12360424, 12360436, 12371370]"
38,"[11659712, 11659798, 12406972, 11659764, 11659052, 12407616, 11659472, 11659626, 12407392, 11659624]"
41,"[11659236, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904, 12407742, 12407398]"
52,"[11659236, 12406894, 12371298, 12360444, 12371376, 12407042, 12407354, 12407780, 12658674, 12658676]"
67,"[11659776, 11659842, 12658300, 12658400, 12407798, 12658230, 12658384, 12407760, 11659836, 12658512]"
69,"[11660094, 12407388, 11660136, 12406998, 11660132, 11659420, 12407400, 12658512, 12407154, 12407730]"
80,"[11659972, 12371246, 12371376, 12657766, 11658984, 11659624, 12407394, 12407650, 12658680, 11659148]"
97,"[11520046, 11460780, 11460802, 11461004, 11461022, 11407180, 11407356, 11360912, 11460766, 11460782]"
100,"[11360912, 11460964, 11659566, 11659570, 11659602, 11659616, 11659626, 11659764, 11659902, 11659918]"
102,"[11361056, 11659626, 12657510, 12657762, 13038848, 13039602, 11407152, 12407738, 13038868, 13039524]"
137,"[12658482, 13039516, 12658398, 11659580, 13039838, 12658240, 12658512, 12407154, 12407730, 12371378]"
142,"[11659696, 12407012, 12407624, 12407940, 12658154, 11659104, 12696928, 12407622, 12658148, 12657612]"
159,"[13038974, 13038966, 13038978, 13038968, 13039556, 11659954, 13038980, 13038984, 12406932, 12407830]"
161,"[12407642, 12322648, 12360454, 11659856, 11659618, 12360422, 12658260, 11659742, 11659712, 12658512]"
208,"[12406874, 11659302, 12407770, 12406894, 12406938, 12407498, 11659250, 12407314, 12658512, 12407154]"
224,"[11659158, 11659272, 11660114, 13038648, 13649990, 11481090, 11603796, 12407148, 12658536, 13039524]"
238,"[11145740, 12995906, 13038832, 13038858, 13039076, 13039602, 13039650, 11659972, 12407386, 12407400]"
244,"[12371372, 12658222, 12658244, 12360428, 12407334, 12322662, 12360410, 12407728, 12360418, 12407650]"
247,"[12658000, 13653674, 12657880, 12658058, 13653566, 13653632, 11714608, 12407834, 12947668, 11714462]"
284,"[11407222, 11659740, 12360390, 12407850, 12657802, 12407702, 12407238, 12407638, 12407780, 12657868]"
299,"[11659104, 11659448, 11659540, 11659576, 11659878, 12406978, 12407022, 13038820, 11659108, 12407016]"
322,"[11659980, 11481020, 11659026, 11659988, 12407638, 12658138, 12658586, 11659526, 11659978, 11407236]"
348,"[12657356, 12657680, 12657688, 12657796, 12658528, 12658530, 12658574, 13038852, 13038854, 13038856]"
360,"[12371280, 12407132, 13038826, 11659236, 11659666, 12360428, 12360450, 12407634, 13038818, 13038820]"
377,"[11659518, 12371314, 12371318, 12407390, 11714500, 11659824, 12406972, 12657426, 12658584, 12696928]"
378,"[12657716, 12658104, 12658102, 12658502, 12658522, 12658514, 11659538, 12657364, 12657714, 12658128]"
382,"[12371378, 12407318, 12657340, 11659250, 12407398, 12407400, 11659998, 12407388, 11659236, 12407024]"
402,"[12371368, 11659764, 12406906, 12407498, 12407728, 12658404, 12407734, 12407790, 12360438, 12322658]"
430,"[11141346, 11335962, 11360872, 11407410, 11460780, 11460990, 11659960, 11659990, 12406886, 12406904]"
466,"[11360912, 11407116, 11481024, 11658984, 12371354, 12407390, 12407502, 12407520, 11659056, 11659250]"
472,"[11407408, 11659716, 11659878, 12371242, 12396536, 13039840, 11360758, 11659538, 12407690, 12658320]"
480,"[12406912, 12407522, 12407500, 12407366, 12407394, 12657760, 11659884, 11659934, 12407238, 12407618]"
490,"[12407730, 12407766, 12407802, 12407814, 12657614, 12658366, 12658376, 12658404, 12658448, 13039518]"
518,"[12658356, 11407274, 11659628, 12360398, 12407674, 12407696, 12658268, 12658292, 12658294, 12658308]"
542,"[11360884, 11659004, 11659688, 11461014, 11659156, 11714428, 12407398, 11659146, 11659158, 11659722]"
565,"[12360398, 13039780, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904, 12407742]"
