productid,attribute_name,attributevalue
11145600,Fit,37
11145600,Sleeve Length,23
11145600,Fabric,16
11145600,Color,25
11145600,Neckline,51
11145602,Fit,37
11145602,Sleeve Length,3
11145602,Fabric,58
11145602,Color,17
11145602,Neckline,4
11145612,Fit,37
11145612,Sleeve Length,21
11145612,Fabric,58
11145612,Color,17
11145612,Neckline,8
11145614,Fit,37
11145614,Sleeve Length,21
11145614,Fabric,39
11145614,Color,31
11145614,Neckline,8
11145620,Fit,0
11145620,Sleeve Length,23
11145620,Fabric,16
11145620,Color,28
11145620,Neckline,26
11145624,Fit,37
11145624,Sleeve Length,3
11145624,Fabric,2
11145624,Color,18
11145624,Neckline,4
11145626,Fit,37
11145626,Sleeve Length,3
11145626,Fabric,2
11145626,Color,17
11145626,Neckline,4
11145634,Fit,37
11145634,Sleeve Length,117
11145634,Fabric,16
11145634,Color,22
11145634,Neckline,51
11145640,Fit,0
11145640,Sleeve Length,23
11145640,Fabric,2
11145640,Color,32
11145640,Neckline,51
11145642,Fit,0
11145642,Sleeve Length,23
11145642,Fabric,2
11145642,Color,31
11145642,Neckline,51
11145654,Fit,0
11145654,Sleeve Length,21
11145654,Fabric,16
11145654,Color,76
11145654,Neckline,8
11145664,Fit,0
11145664,Sleeve Length,3
11145664,Fabric,2
11145664,Color,35
11145664,Neckline,8
11145666,Fit,0
11145666,Sleeve Length,3
11145666,Fabric,2
11145666,Color,20
11145666,Neckline,8
11145684,Fit,0
11145684,Sleeve Length,3
11145684,Fabric,16
11145684,Color,25
11145684,Neckline,8
11145702,Fit,0
11145702,Sleeve Length,23
11145702,Fabric,2
11145702,Color,22
11145702,Neckline,4
11145726,Fit,0
11145726,Sleeve Length,23
11145726,Fabric,2
11145726,Color,32
11145726,Neckline,49
11145728,Fit,0
11145728,Sleeve Length,23
11145728,Fabric,2
11145728,Color,41
11145728,Neckline,8
11145740,Fit,37
11145740,Sleeve Length,21
11145740,Fabric,58
11145740,Color,25
11145740,Neckline,4
11145744,Fit,0
11145744,Sleeve Length,23
11145744,Fabric,16
11145744,Color,25
11145744,Neckline,8
11145748,Fit,0
11145748,Sleeve Length,23
11145748,Fabric,16
11145748,Color,45
11145748,Neckline,4
11145762,Fit,0
11145762,Sleeve Length,3
11145762,Fabric,16
11145762,Color,25
11145762,Neckline,8
11146082,Fit,0
11146082,Sleeve Length,23
11146082,Fabric,2
11146082,Color,59
11146082,Neckline,4
11146084,Fit,0
11146084,Sleeve Length,53
11146084,Fabric,2
11146084,Color,41
11146084,Neckline,4
11146384,Fit,0
11146384,Sleeve Length,3
11146384,Fabric,2
11146384,Color,18
11146384,Neckline,4
11146754,Fit,14
11146754,Sleeve Length,3
11146754,Fabric,2
11146754,Color,18
11146754,Neckline,4
11147250,Fit,0
11147250,Sleeve Length,23
11147250,Fabric,39
11147250,Color,20
11147250,Neckline,4
11147252,Fit,0
11147252,Sleeve Length,3
11147252,Fabric,39
11147252,Neckline,51
11147258,Fit,0
11147258,Sleeve Length,117
11147258,Fabric,16
11147258,Color,17
11147258,Neckline,26
11147268,Fit,0
11147268,Sleeve Length,21
11147268,Fabric,2
11147268,Color,18
11147268,Neckline,51
11147280,Fit,0
11147280,Sleeve Length,3
11147280,Fabric,2
11147280,Color,17
11147280,Neckline,4
11147282,Fit,0
11147282,Sleeve Length,3
11147282,Fabric,2
11147282,Color,18
11147282,Neckline,4
11147290,Fit,0
11147290,Sleeve Length,3
11147290,Fabric,58
11147290,Color,32
11147290,Neckline,51
11147292,Fit,0
11147292,Sleeve Length,3
11147292,Color,22
11147292,Neckline,8
11147300,Fit,0
11147300,Sleeve Length,23
11147300,Fabric,16
11147300,Color,41
11147300,Neckline,8
11147312,Fit,0
11147312,Sleeve Length,3
11147312,Fabric,2
11147312,Color,18
11147312,Neckline,49
11147324,Fit,0
11147324,Sleeve Length,3
11147324,Fabric,2
11147324,Color,17
11147324,Neckline,4
11237222,Fit,0
11237222,Sleeve Length,23
11237222,Fabric,68
11237222,Color,32
11237222,Neckline,4
11237224,Fit,0
